Route ID,City,Zone,Stops (N),Greedy (km),2-opt (km),Held-Karp (km),2-opt saving (%),2-opt saved (km),HK saving (%),HK saved (km),Greedy time (ms),2-opt time (ms),HK time (ms)
R001,"Seattle, WA",Fremont-Wallingford,12,6.559,6.223,6.223,5.12,0.336,5.12,0.336,0.071,0.069,65.765
R002,"Seattle, WA",Capitol-Hill,10,14.478,13.387,13.387,7.53,1.091,7.53,1.091,0.045,0.056,10.806
R003,"Austin, TX",SoCo-Zilker,13,24.135,24.021,23.669,0.47,0.115,1.93,0.466,0.062,0.08,150.562
R004,"Austin, TX",Hyde-Park,8,34.994,34.709,34.433,0.81,0.285,1.6,0.561,0.034,0.035,1.757
R005,"Chicago, IL",Lincoln-Park,11,25.163,24.503,23.357,2.62,0.659,7.18,1.806,0.042,0.051,25.574
R006,"Chicago, IL",Wicker-Bucktown,9,15.384,14.463,14.463,5.99,0.922,5.99,0.922,0.038,0.046,4.388
R007,"Boston, MA",Back-Bay,12,14.82,12.168,12.168,17.9,2.653,17.9,2.653,0.051,0.061,60.349
R008,"Boston, MA",Somerville-Cambridge,10,22.371,21.774,21.672,2.67,0.597,3.12,0.699,0.039,0.053,11.634
R009,"Hyattsville, MD",College-Park,14,40.306,33.923,33.923,15.84,6.383,15.84,6.383,0.069,0.093,336.332
R010,"Hyattsville, MD",Greenbelt-Lanham,9,25.935,22.842,22.842,11.93,3.093,11.93,3.093,0.038,0.057,4.453
R011,"Seattle, WA",Ballard-Crown-Hill,11,11.277,9.911,9.911,12.11,1.366,12.11,1.366,0.049,0.062,25.022
R012,"Austin, TX",Mueller-Cherrywood,8,32.51,32.51,32.51,0.0,0.0,,,0.031,0.026,1.815
R013,"Chicago, IL",Logan-Square,10,16.985,16.22,16.034,4.5,0.765,5.6,0.951,0.037,0.054,10.572
R014,"Boston, MA",Jamaica-Plain,9,8.91,8.558,8.301,3.95,0.352,6.84,0.609,0.034,0.038,4.353
R015,"Seattle, WA",Queen-Anne,10,9.498,9.024,9.024,4.99,0.474,4.99,0.474,0.037,0.054,10.46
